member_id,display_as,gender,party,party_simple,mp_final_relig,ass_suicide_2nd,ass_suicide_3rd,lgbt,ethnic_mp,relig_christian,relig_muslim,relig_jewish,relig_sikh,mp_swear,mp_swear_book,mp_inferred_relig,elected,majority,constituency_type,cen_claimant,cen_eth_white,cen_rel_christian,cen_rel_buddhist,cen_rel_hindu,cen_rel_jewish,cen_rel_muslim,cen_rel_sikh,cen_rel_no religion,cen_qual_none,cen_qual_grad,cen_disab_some
5266,Mike Tapp,M,Labour,Labour,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.099272,County,4.004682,0.946998,0.491229,0.005336,0.006374,0.000863,0.006432,0.000708,0.42807,0.198901,0.259326,0.213875
5267,Yuan Yang,F,Labour,Labour,None,Yes,TBC,No,Yes,0,0,0,0,Affirm,No text,None,Elected,0.01153,Borough,2.713942,0.695382,0.398415,0.009374,0.063624,0.001618,0.085646,0.019969,0.353274,0.135767,0.405326,0.132017
5268,Iqbal Mohamed,M,Independent,Independent,Muslim,No,TBC,No,Yes,0,1,0,0,Affirm,No text,None,Elected,0.096729,Borough,7.88451,0.512141,0.280532,0.001657,0.002717,0.000299,0.436788,0.002351,0.221116,0.278293,0.225742,0.166097
5269,Lauren Sullivan,F,Labour,Labour,None,No,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.037103,County,4.855998,0.766057,0.491726,0.003246,0.013948,0.000711,0.031113,0.080076,0.321359,0.203255,0.266954,0.163789
5270,Darren Paffey,M,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.089282,Borough,4.571499,0.859526,0.404067,0.00487,0.009259,0.000963,0.035053,0.008523,0.464733,0.174896,0.29199,0.183222
5271,Satvir Kaur,F,Labour,Labour,Sikh,No,TBC,No,Yes,0,0,0,1,Oath,No text,None,Elected,0.142445,Borough,5.106942,0.772488,0.401428,0.005012,0.015253,0.000959,0.070911,0.023432,0.413352,0.179367,0.334323,0.172737
5272,Margaret Mullane,F,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.093795,Borough,7.180579,0.580098,0.497244,0.003465,0.026946,0.001586,0.146349,0.018347,0.24603,0.230208,0.298531,0.141148
5273,Connor Naismith,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.124032,County,3.301452,0.929026,0.536551,0.003269,0.00515,0.000721,0.012657,0.000612,0.380978,0.192784,0.292467,0.176103
5274,Sonia Kumar,F,Labour,Labour,Sikh,Yes,TBC,No,Yes,0,0,0,1,Affirm,No text,None,Elected,0.027084,Borough,6.495283,0.802213,0.483937,0.002763,0.011012,0.000287,0.075867,0.021093,0.34799,0.258253,0.227422,0.200154
5275,Graeme Downie,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.113163,County,2.611175,0.956961,0.308533,0.001884,0.003872,0.000429,0.012296,0.00091,0.611362,0.142711,0.315809,0.230985
5276,Chris Ward,M,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.140483,Borough,4.998587,0.866646,0.3582,0.008052,0.008147,0.004341,0.02877,0.000996,0.514296,0.174567,0.345964,0.21886
5277,Graham Leadbitter,M,Scottish National Party,Nats,None,Abstain,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.012959,County,2.212382,0.97546,0.342797,0.003436,0.001003,0.000608,0.003031,0.000284,0.579339,0.153002,0.301816,0.226416
5278,Uma Kumaran,F,Labour,Labour,Hindu,No,TBC,No,Yes,0,0,0,0,Oath,Bhagwad Gita,Other Religion,Elected,0.144101,Borough,7.439599,0.391844,0.296729,0.007243,0.036127,0.003116,0.321651,0.010633,0.249742,0.170057,0.484379,0.123948
5279,Jayne Kirkham,F,Labour (Co-op),Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.111685,County,2.678494,0.952112,0.436798,0.003994,0.002192,0.001075,0.004943,0.000295,0.476087,0.130028,0.37213,0.197612
5280,Seamus Logan,M,Scottish National Party,Nats,None,Abstain,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.013446,County,2.524395,0.981471,0.353533,0.001834,0.000676,0.000441,0.002275,0.000297,0.57227,0.209828,0.208755,0.238007
5281,Anna Dixon,F,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.116053,County,3.619392,0.894948,0.463376,0.002197,0.004722,0.000513,0.054793,0.006415,0.411457,0.157903,0.364504,0.174026
5282,Dan Tomlinson,M,Labour,Labour,Christian,No,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.037341,Borough,4.101143,0.633699,0.420207,0.009256,0.055173,0.097034,0.088043,0.004154,0.234652,0.142209,0.486332,0.134421
5283,Alison Bennett,F,Liberal Democrat,Lib Dem,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.087694,County,1.861255,0.917965,0.477302,0.004228,0.012063,0.002012,0.012205,0.000772,0.42598,0.113376,0.404408,0.146812
5284,David Chadwick,M,Liberal Democrat,Lib Dem,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.020133,County,3.020467,0.9742,0.471398,0.00491,0.003096,0.000565,0.003194,0.000684,0.442752,0.189762,0.32205,0.220555
5285,Katie Lam,F,Conservative,Con,Christian,No,TBC,No,No,1,0,0,0,Oath,Bible - KJV,Christian,Elected,0.110835,County,2.698746,0.95782,0.538157,0.002941,0.00279,0.001271,0.005386,0.000894,0.385991,0.167098,0.326033,0.168895
5286,Anna Sabine,F,Liberal Democrat,Lib Dem,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.075636,County,2.45607,0.968224,0.451008,0.003885,0.001367,0.001411,0.002898,0.000326,0.466439,0.161102,0.32673,0.170686
5287,Tim Roca,M,Labour,Labour,None,Yes,TBC,Yes,No,0,0,0,0,Affirm,No text,None,Elected,0.119347,County,2.530555,0.952088,0.527273,0.003892,0.004845,0.001433,0.007105,0.000774,0.396804,0.136699,0.406617,0.174499
5288,Al Pinkerton,M,Liberal Democrat,Lib Dem,Christian,Yes,TBC,No,No,0,0,0,0,Oath,Bible - KJV,Christian,Elected,0.078405,County,2.232498,0.854659,0.499638,0.010211,0.021186,0.0016,0.029716,0.010792,0.364337,0.129556,0.388181,0.134262
5289,Harpreet Uppal,F,Labour,Labour,Sikh,Yes,TBC,No,Yes,0,0,0,1,Oath,No text,None,Elected,0.058269,Borough,7.214569,0.617733,0.358401,0.003097,0.006337,0.000411,0.215723,0.02043,0.331331,0.216599,0.301034,0.18859
5290,Leigh Ingham,F,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.065078,County,3.048738,0.922314,0.524327,0.004506,0.010989,0.000518,0.013179,0.005817,0.381105,0.161647,0.340462,0.185592
5291,Catherine Fookes,F,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.044612,County,2.51555,0.969298,0.486774,0.003647,0.002195,0.00085,0.004679,0.001097,0.433643,0.157402,0.393781,0.193412
5293,Cat Eccles,F,Labour,Labour,None,Yes,TBC,No,No,0,0,0,0,Affirm,No text,None,Elected,0.044985,Borough,5.362086,0.867133,0.48073,0.002917,0.005264,0.000301,0.064636,0.010561,0.371687,0.21561,0.26974,0.193446
